Perijove,Time (UTC),SC Range to Io (km),SC Altitude (km),SC Latitude (deg),SC W Longitude (deg),Subsolar Latitude (deg),Subsolar W Longitude (deg),Sun-Io-SC Angle (deg),JIRAM scale (km/pixel),JunoCAM scale (km/pixel)
PJ62,06/13/2024 15:41:14.017,47709.0705,45891.6159,-63.3640,135.6992,2.9994,226.1453,92.8810,10.9115,30.8713
PJ62,06/13/2024 15:41:14.517,47697.6311,45880.1780,-63.3759,135.7001,2.9994,226.1465,92.8813,10.9088,30.8636
PJ62,06/13/2024 15:41:15.017,47686.1938,45868.7421,-63.3877,135.7011,2.9994,226.1477,92.8816,10.9061,30.8559
PJ62,06/13/2024 15:41:15.517,47674.7586,45857.3082,-63.3995,135.7020,2.9994,226.1489,92.8819,10.9034,30.8482
PJ62,06/13/2024 15:41:16.017,47663.3253,45845.8764,-63.4114,135.7030,2.9994,226.1500,92.8822,10.9006,30.8405
PJ62,06/13/2024 15:41:16.517,47651.8941,45834.4466,-63.4232,135.7040,2.9994,226.1512,92.8825,10.8979,30.8328
PJ62,06/13/2024 15:41:17.017,47640.4649,45823.0188,-63.4351,135.7049,2.9994,226.1524,92.8828,10.8952,30.8251
PJ62,06/13/2024 15:41:17.517,47629.0377,45811.5930,-63.4469,135.7059,2.9994,226.1536,92.8831,10.8925,30.8175
PJ62,06/13/2024 15:41:18.017,47617.6125,45800.1693,-63.4588,135.7068,2.9994,226.1548,92.8834,10.8898,30.8098
PJ62,06/13/2024 15:41:18.517,47606.1894,45788.7476,-63.4707,135.7078,2.9994,226.1559,92.8837,10.8871,30.8021
PJ62,06/13/2024 15:41:19.017,47594.7684,45777.3279,-63.4826,135.7087,2.9994,226.1571,92.8839,10.8843,30.7944
PJ62,06/13/2024 15:41:19.517,47583.3493,45765.9103,-63.4944,135.7097,2.9994,226.1583,92.8842,10.8816,30.7867
PJ62,06/13/2024 15:41:20.017,47571.9323,45754.4947,-63.5063,135.7107,2.9994,226.1595,92.8845,10.8789,30.7790
PJ62,06/13/2024 15:41:20.517,47560.5173,45743.0812,-63.5182,135.7116,2.9994,226.1606,92.8848,10.8762,30.7714
PJ62,06/13/2024 15:41:21.017,47549.1044,45731.6697,-63.5301,135.7126,2.9994,226.1618,92.8851,10.8735,30.7637
PJ62,06/13/2024 15:41:21.517,47537.6935,45720.2602,-63.5420,135.7135,2.9994,226.1630,92.8854,10.8708,30.7560
PJ62,06/13/2024 15:41:22.017,47526.2847,45708.8528,-63.5540,135.7145,2.9994,226.1642,92.8857,10.8681,30.7483
PJ62,06/13/2024 15:41:22.517,47514.8779,45697.4474,-63.5659,135.7154,2.9994,226.1654,92.8860,10.8653,30.7407
PJ62,06/13/2024 15:41:23.017,47503.4731,45686.0441,-63.5778,135.7164,2.9994,226.1665,92.8863,10.8626,30.7330
PJ62,06/13/2024 15:41:23.517,47492.0704,45674.6428,-63.5897,135.7173,2.9994,226.1677,92.8866,10.8599,30.7253
PJ62,06/13/2024 15:41:24.017,47480.6698,45663.2435,-63.6017,135.7183,2.9994,226.1689,92.8869,10.8572,30.7177
PJ62,06/13/2024 15:41:24.517,47469.2711,45651.8464,-63.6136,135.7192,2.9994,226.1701,92.8872,10.8545,30.7100
PJ62,06/13/2024 15:41:25.017,47457.8746,45640.4512,-63.6255,135.7202,2.9994,226.1712,92.8875,10.8518,30.7023
PJ62,06/13/2024 15:41:25.517,47446.4801,45629.0581,-63.6375,135.7212,2.9994,226.1724,92.8878,10.8491,30.6947
PJ62,06/13/2024 15:41:26.017,47435.0876,45617.6671,-63.6495,135.7221,2.9994,226.1736,92.8881,10.8464,30.6870
PJ62,06/13/2024 15:41:26.517,47423.6972,45606.2781,-63.6614,135.7231,2.9994,226.1748,92.8883,10.8437,30.6793
PJ62,06/13/2024 15:41:27.017,47412.3089,45594.8912,-63.6734,135.7240,2.9994,226.1760,92.8886,10.8410,30.6717
PJ62,06/13/2024 15:41:27.517,47400.9226,45583.5064,-63.6854,135.7250,2.9994,226.1771,92.8889,10.8383,30.6640
PJ62,06/13/2024 15:41:28.017,47389.5384,45572.1236,-63.6973,135.7259,2.9994,226.1783,92.8892,10.8355,30.6564
PJ62,06/13/2024 15:41:28.517,47378.1562,45560.7428,-63.7093,135.7269,2.9994,226.1795,92.8895,10.8328,30.6487
PJ62,06/13/2024 15:41:29.017,47366.7761,45549.3641,-63.7213,135.7278,2.9994,226.1807,92.8898,10.8301,30.6411
PJ62,06/13/2024 15:41:29.517,47355.3981,45537.9875,-63.7333,135.7288,2.9994,226.1818,92.8901,10.8274,30.6334
PJ62,06/13/2024 15:41:30.017,47344.0221,45526.6130,-63.7453,135.7297,2.9994,226.1830,92.8904,10.8247,30.6258
PJ62,06/13/2024 15:41:30.517,47332.6482,45515.2405,-63.7573,135.7307,2.9994,226.1842,92.8907,10.8220,30.6181
PJ62,06/13/2024 15:41:31.017,47321.2764,45503.8701,-63.7694,135.7316,2.9994,226.1854,92.8910,10.8193,30.6105
PJ62,06/13/2024 15:41:31.517,47309.9066,45492.5018,-63.7814,135.7326,2.9994,226.1866,92.8913,10.8166,30.6028
PJ62,06/13/2024 15:41:32.017,47298.5390,45481.1355,-63.7934,135.7335,2.9994,226.1877,92.8916,10.8139,30.5952
PJ62,06/13/2024 15:41:32.517,47287.1733,45469.7713,-63.8054,135.7345,2.9994,226.1889,92.8919,10.8112,30.5875
PJ62,06/13/2024 15:41:33.017,47275.8098,45458.4092,-63.8175,135.7354,2.9994,226.1901,92.8922,10.8085,30.5799
PJ62,06/13/2024 15:41:33.517,47264.4483,45447.0492,-63.8295,135.7364,2.9994,226.1913,92.8925,10.8058,30.5722
PJ62,06/13/2024 15:41:34.017,47253.0890,45435.6912,-63.8416,135.7373,2.9994,226.1924,92.8927,10.8031,30.5646
PJ62,06/13/2024 15:41:34.517,47241.7317,45424.3354,-63.8536,135.7383,2.9994,226.1936,92.8930,10.8004,30.5570
PJ62,06/13/2024 15:41:35.017,47230.3764,45412.9816,-63.8657,135.7392,2.9994,226.1948,92.8933,10.7977,30.5493
PJ62,06/13/2024 15:41:35.517,47219.0233,45401.6298,-63.8778,135.7402,2.9994,226.1960,92.8936,10.7950,30.5417
PJ62,06/13/2024 15:41:36.017,47207.6722,45390.2802,-63.8898,135.7411,2.9994,226.1972,92.8939,10.7923,30.5340
PJ62,06/13/2024 15:41:36.517,47196.3233,45378.9327,-63.9019,135.7421,2.9994,226.1983,92.8942,10.7896,30.5264
PJ62,06/13/2024 15:41:37.017,47184.9764,45367.5872,-63.9140,135.7430,2.9994,226.1995,92.8945,10.7869,30.5188
PJ62,06/13/2024 15:41:37.517,47173.6316,45356.2438,-63.9261,135.7440,2.9994,226.2007,92.8948,10.7842,30.5111
PJ62,06/13/2024 15:41:38.017,47162.2889,45344.9026,-63.9382,135.7449,2.9994,226.2019,92.8951,10.7815,30.5035
PJ62,06/13/2024 15:41:38.517,47150.9483,45333.5634,-63.9503,135.7459,2.9994,226.2030,92.8954,10.7788,30.4959
PJ62,06/13/2024 15:41:39.017,47139.6097,45322.2263,-63.9624,135.7468,2.9994,226.2042,92.8957,10.7761,30.4883
PJ62,06/13/2024 15:41:39.517,47128.2733,45310.8913,-63.9745,135.7477,2.9994,226.2054,92.8960,10.7734,30.4806
PJ62,06/13/2024 15:41:40.017,47116.9390,45299.5584,-63.9866,135.7487,2.9994,226.2066,92.8963,10.7707,30.4730
PJ62,06/13/2024 15:41:40.517,47105.6067,45288.2276,-63.9988,135.7496,2.9994,226.2078,92.8966,10.7680,30.4654
PJ62,06/13/2024 15:41:41.017,47094.2766,45276.8989,-64.0109,135.7506,2.9994,226.2089,92.8969,10.7654,30.4578
PJ62,06/13/2024 15:41:41.517,47082.9486,45265.5723,-64.0230,135.7515,2.9994,226.2101,92.8971,10.7627,30.4502
PJ62,06/13/2024 15:41:42.017,47071.6226,45254.2478,-64.0352,135.7525,2.9994,226.2113,92.8974,10.7600,30.4425
PJ62,06/13/2024 15:41:42.517,47060.2988,45242.9254,-64.0473,135.7534,2.9994,226.2125,92.8977,10.7573,30.4349
PJ62,06/13/2024 15:41:43.017,47048.9771,45231.6051,-64.0595,135.7544,2.9994,226.2136,92.8980,10.7546,30.4273
PJ62,06/13/2024 15:41:43.517,47037.6575,45220.2869,-64.0716,135.7553,2.9994,226.2148,92.8983,10.7519,30.4197
PJ62,06/13/2024 15:41:44.017,47026.3400,45208.9708,-64.0838,135.7563,2.9994,226.2160,92.8986,10.7492,30.4121
PJ62,06/13/2024 15:41:44.517,47015.0246,45197.6569,-64.0960,135.7572,2.9994,226.2172,92.8989,10.7465,30.4045
PJ62,06/13/2024 15:41:45.017,47003.7113,45186.3450,-64.1082,135.7581,2.9994,226.2184,92.8992,10.7438,30.3969
PJ62,06/13/2024 15:41:45.517,46992.4001,45175.0353,-64.1203,135.7591,2.9994,226.2195,92.8995,10.7411,30.3892
PJ62,06/13/2024 15:41:46.017,46981.0910,45163.7277,-64.1325,135.7600,2.9994,226.2207,92.8998,10.7384,30.3816
PJ62,06/13/2024 15:41:46.517,46969.7841,45152.4221,-64.1447,135.7610,2.9994,226.2219,92.9001,10.7358,30.3740
PJ62,06/13/2024 15:41:47.017,46958.4793,45141.1187,-64.1569,135.7619,2.9994,226.2231,92.9004,10.7331,30.3664
PJ62,06/13/2024 15:41:47.517,46947.1766,45129.8175,-64.1691,135.7629,2.9994,226.2242,92.9007,10.7304,30.3588
PJ62,06/13/2024 15:41:48.017,46935.8760,45118.5183,-64.1813,135.7638,2.9994,226.2254,92.9010,10.7277,30.3512
PJ62,06/13/2024 15:41:48.517,46924.5775,45107.2213,-64.1936,135.7647,2.9994,226.2266,92.9012,10.7250,30.3436
PJ62,06/13/2024 15:41:49.017,46913.2812,45095.9264,-64.2058,135.7657,2.9994,226.2278,92.9015,10.7223,30.3360
PJ62,06/13/2024 15:41:49.517,46901.9869,45084.6336,-64.2180,135.7666,2.9994,226.2290,92.9018,10.7196,30.3284
PJ62,06/13/2024 15:41:50.017,46890.6948,45073.3429,-64.2303,135.7676,2.9994,226.2301,92.9021,10.7170,30.3208
PJ62,06/13/2024 15:41:50.517,46879.4049,45062.0544,-64.2425,135.7685,2.9994,226.2313,92.9024,10.7143,30.3132
PJ62,06/13/2024 15:41:51.017,46868.1171,45050.7680,-64.2548,135.7694,2.9994,226.2325,92.9027,10.7116,30.3057
PJ62,06/13/2024 15:41:51.517,46856.8314,45039.4838,-64.2670,135.7704,2.9994,226.2337,92.9030,10.7089,30.2981
PJ62,06/13/2024 15:41:52.017,46845.5478,45028.2016,-64.2793,135.7713,2.9994,226.2348,92.9033,10.7062,30.2905
PJ62,06/13/2024 15:41:52.517,46834.2663,45016.9216,-64.2915,135.7723,2.9994,226.2360,92.9036,10.7035,30.2829
PJ62,06/13/2024 15:41:53.017,46822.9870,45005.6438,-64.3038,135.7732,2.9994,226.2372,92.9039,10.7009,30.2753
PJ62,06/13/2024 15:41:53.517,46811.7099,44994.3680,-64.3161,135.7741,2.9994,226.2384,92.9042,10.6982,30.2677
PJ62,06/13/2024 15:41:54.017,46800.4349,44983.0944,-64.3284,135.7751,2.9994,226.2396,92.9045,10.6955,30.2601
PJ62,06/13/2024 15:41:54.517,46789.1620,44971.8230,-64.3407,135.7760,2.9994,226.2407,92.9048,10.6928,30.2525
PJ62,06/13/2024 15:41:55.017,46777.8912,44960.5537,-64.3530,135.7769,2.9994,226.2419,92.9051,10.6901,30.2450
PJ62,06/13/2024 15:41:55.517,46766.6226,44949.2865,-64.3653,135.7779,2.9994,226.2431,92.9054,10.6875,30.2374
PJ62,06/13/2024 15:41:56.017,46755.3562,44938.0215,-64.3776,135.7788,2.9994,226.2443,92.9056,10.6848,30.2298
PJ62,06/13/2024 15:41:56.517,46744.0919,44926.7587,-64.3899,135.7798,2.9994,226.2454,92.9059,10.6821,30.2222
PJ62,06/13/2024 15:41:57.017,46732.8297,44915.4979,-64.4022,135.7807,2.9994,226.2466,92.9062,10.6794,30.2147
PJ62,06/13/2024 15:41:57.517,46721.5697,44904.2394,-64.4145,135.7816,2.9994,226.2478,92.9065,10.6767,30.2071
PJ62,06/13/2024 15:41:58.017,46710.3119,44892.9830,-64.4269,135.7826,2.9994,226.2490,92.9068,10.6741,30.1995
PJ62,06/13/2024 15:41:58.517,46699.0561,44881.7287,-64.4392,135.7835,2.9994,226.2502,92.9071,10.6714,30.1919
PJ62,06/13/2024 15:41:59.017,46687.8026,44870.4766,-64.4515,135.7844,2.9994,226.2513,92.9074,10.6687,30.1844
PJ62,06/13/2024 15:41:59.517,46676.5512,44859.2266,-64.4639,135.7854,2.9994,226.2525,92.9077,10.6660,30.1768
PJ62,06/13/2024 15:42:00.017,46665.3020,44847.9788,-64.4762,135.7863,2.9994,226.2537,92.9080,10.6634,30.1692
PJ62,06/13/2024 15:42:00.517,46654.0549,44836.7332,-64.4886,135.7872,2.9994,226.2549,92.9083,10.6607,30.1617
PJ62,06/13/2024 15:42:01.017,46642.8100,44825.4897,-64.5010,135.7882,2.9994,226.2560,92.9086,10.6580,30.1541
PJ62,06/13/2024 15:42:01.517,46631.5672,44814.2484,-64.5133,135.7891,2.9994,226.2572,92.9089,10.6553,30.1465
PJ62,06/13/2024 15:42:02.017,46620.3266,44803.0093,-64.5257,135.7900,2.9994,226.2584,92.9092,10.6527,30.1390
PJ62,06/13/2024 15:42:02.517,46609.0882,44791.7723,-64.5381,135.7910,2.9994,226.2596,92.9095,10.6500,30.1314
PJ62,06/13/2024 15:42:03.017,46597.8519,44780.5375,-64.5505,135.7919,2.9994,226.2608,92.9097,10.6473,30.1239
PJ62,06/13/2024 15:42:03.517,46586.6179,44769.3048,-64.5629,135.7928,2.9994,226.2619,92.9100,10.6447,30.1163
PJ62,06/13/2024 15:42:04.017,46575.3859,44758.0743,-64.5753,135.7938,2.9994,226.2631,92.9103,10.6420,30.1088
PJ62,06/13/2024 15:42:04.517,46564.1562,44746.8460,-64.5877,135.7947,2.9994,226.2643,92.9106,10.6393,30.1012
PJ62,06/13/2024 15:42:05.017,46552.9286,44735.6199,-64.6001,135.7956,2.9994,226.2655,92.9109,10.6367,30.0937
PJ62,06/13/2024 15:42:05.517,46541.7032,44724.3959,-64.6125,135.7966,2.9994,226.2666,92.9112,10.6340,30.0861
PJ62,06/13/2024 15:42:06.017,46530.4800,44713.1742,-64.6250,135.7975,2.9994,226.2678,92.9115,10.6313,30.0786
PJ62,06/13/2024 15:42:06.517,46519.2589,44701.9546,-64.6374,135.7984,2.9994,226.2690,92.9118,10.6286,30.0710
PJ62,06/13/2024 15:42:07.017,46508.0401,44690.7371,-64.6498,135.7994,2.9994,226.2702,92.9121,10.6260,30.0635
PJ62,06/13/2024 15:42:07.517,46496.8234,44679.5219,-64.6623,135.8003,2.9994,226.2714,92.9124,10.6233,30.0559
PJ62,06/13/2024 15:42:08.017,46485.6089,44668.3088,-64.6747,135.8012,2.9994,226.2725,92.9127,10.6206,30.0484
PJ62,06/13/2024 15:42:08.517,46474.3966,44657.0980,-64.6872,135.8021,2.9994,226.2737,92.9130,10.6180,30.0408
PJ62,06/13/2024 15:42:09.017,46463.1864,44645.8893,-64.6997,135.8031,2.9994,226.2749,92.9133,10.6153,30.0333
PJ62,06/13/2024 15:42:09.517,46451.9785,44634.6828,-64.7121,135.8040,2.9994,226.2761,92.9135,10.6127,30.0258
PJ62,06/13/2024 15:42:10.017,46440.7727,44623.4785,-64.7246,135.8049,2.9994,226.2772,92.9138,10.6100,30.0182
PJ62,06/13/2024 15:42:10.517,46429.5691,44612.2763,-64.7371,135.8059,2.9994,226.2784,92.9141,10.6073,30.0107
PJ62,06/13/2024 15:42:11.017,46418.3678,44601.0764,-64.7496,135.8068,2.9994,226.2796,92.9144,10.6047,30.0031
PJ62,06/13/2024 15:42:11.517,46407.1686,44589.8787,-64.7621,135.8077,2.9994,226.2808,92.9147,10.6020,29.9956
PJ62,06/13/2024 15:42:12.017,46395.9716,44578.6831,-64.7746,135.8086,2.9994,226.2820,92.9150,10.5993,29.9881
PJ62,06/13/2024 15:42:12.517,46384.7768,44567.4898,-64.7871,135.8096,2.9994,226.2831,92.9153,10.5967,29.9806
PJ62,06/13/2024 15:42:13.017,46373.5842,44556.2987,-64.7996,135.8105,2.9994,226.2843,92.9156,10.5940,29.9730
PJ62,06/13/2024 15:42:13.517,46362.3938,44545.1097,-64.8121,135.8114,2.9994,226.2855,92.9159,10.5914,29.9655
PJ62,06/13/2024 15:42:14.017,46351.2056,44533.9230,-64.8246,135.8123,2.9994,226.2867,92.9162,10.5887,29.9580
PJ62,06/13/2024 15:42:14.517,46340.0197,44522.7384,-64.8371,135.8133,2.9994,226.2878,92.9165,10.5860,29.9504
PJ62,06/13/2024 15:42:15.017,46328.8359,44511.5561,-64.8497,135.8142,2.9994,226.2890,92.9168,10.5834,29.9429
PJ62,06/13/2024 15:42:15.517,46317.6543,44500.3760,-64.8622,135.8151,2.9994,226.2902,92.9171,10.5807,29.9354
PJ62,06/13/2024 15:42:16.017,46306.4749,44489.1981,-64.8748,135.8160,2.9994,226.2914,92.9174,10.5781,29.9279
PJ62,06/13/2024 15:42:16.517,46295.2978,44478.0223,-64.8873,135.8170,2.9994,226.2925,92.9176,10.5754,29.9204
PJ62,06/13/2024 15:42:17.017,46284.1228,44466.8489,-64.8999,135.8179,2.9994,226.2937,92.9179,10.5727,29.9128
PJ62,06/13/2024 15:42:17.517,46272.9501,44455.6776,-64.9124,135.8188,2.9994,226.2949,92.9182,10.5701,29.9053
PJ62,06/13/2024 15:42:18.017,46261.7796,44444.5085,-64.9250,135.8197,2.9994,226.2961,92.9185,10.5674,29.8978
PJ62,06/13/2024 15:42:18.517,46250.6113,44433.3416,-64.9376,135.8207,2.9994,226.2973,92.9188,10.5648,29.8903
PJ62,06/13/2024 15:42:19.017,46239.4452,44422.1770,-64.9502,135.8216,2.9994,226.2984,92.9191,10.5621,29.8828
PJ62,06/13/2024 15:42:19.517,46228.2813,44411.0146,-64.9628,135.8225,2.9994,226.2996,92.9194,10.5595,29.8753
PJ62,06/13/2024 15:42:20.017,46217.1197,44399.8544,-64.9754,135.8234,2.9994,226.3008,92.9197,10.5568,29.8678
PJ62,06/13/2024 15:42:20.517,46205.9603,44388.6964,-64.9880,135.8244,2.9994,226.3020,92.9200,10.5542,29.8603
PJ62,06/13/2024 15:42:21.017,46194.8031,44377.5407,-65.0006,135.8253,2.9994,226.3031,92.9203,10.5515,29.8528
PJ62,06/13/2024 15:42:21.517,46183.6481,44366.3872,-65.0132,135.8262,2.9994,226.3043,92.9206,10.5489,29.8453
PJ62,06/13/2024 15:42:22.017,46172.4953,44355.2359,-65.0258,135.8271,2.9994,226.3055,92.9209,10.5462,29.8378
PJ62,06/13/2024 15:42:22.517,46161.3448,44344.0868,-65.0384,135.8280,2.9994,226.3067,92.9212,10.5436,29.8303
PJ62,06/13/2024 15:42:23.017,46150.1965,44332.9400,-65.0511,135.8290,2.9994,226.3079,92.9214,10.5409,29.8228
PJ62,06/13/2024 15:42:23.517,46139.0505,44321.7954,-65.0637,135.8299,2.9994,226.3090,92.9217,10.5383,29.8153
PJ62,06/13/2024 15:42:24.017,46127.9067,44310.6530,-65.0763,135.8308,2.9994,226.3102,92.9220,10.5356,29.8078
PJ62,06/13/2024 15:42:24.517,46116.7651,44299.5129,-65.0890,135.8317,2.9994,226.3114,92.9223,10.5330,29.8003
PJ62,06/13/2024 15:42:25.017,46105.6257,44288.3750,-65.1016,135.8326,2.9994,226.3126,92.9226,10.5303,29.7928
PJ62,06/13/2024 15:42:25.517,46094.4886,44277.2393,-65.1143,135.8336,2.9994,226.3137,92.9229,10.5277,29.7853
PJ62,06/13/2024 15:42:26.017,46083.3538,44266.1059,-65.1270,135.8345,2.9994,226.3149,92.9232,10.5250,29.7778
PJ62,06/13/2024 15:42:26.517,46072.2211,44254.9747,-65.1396,135.8354,2.9994,226.3161,92.9235,10.5224,29.7703
PJ62,06/13/2024 15:42:27.017,46061.0908,44243.8458,-65.1523,135.8363,2.9994,226.3173,92.9238,10.5197,29.7628
PJ62,06/13/2024 15:42:27.517,46049.9626,44232.7191,-65.1650,135.8372,2.9994,226.3185,92.9241,10.5171,29.7554
PJ62,06/13/2024 15:42:28.017,46038.8367,44221.5947,-65.1777,135.8381,2.9994,226.3196,92.9244,10.5144,29.7479
PJ62,06/13/2024 15:42:28.517,46027.7131,44210.4725,-65.1904,135.8391,2.9994,226.3208,92.9247,10.5118,29.7404
PJ62,06/13/2024 15:42:29.017,46016.5917,44199.3526,-65.2031,135.8400,2.9994,226.3220,92.9249,10.5091,29.7329
PJ62,06/13/2024 15:42:29.517,46005.4725,44188.2349,-65.2158,135.8409,2.9994,226.3232,92.9252,10.5065,29.7254
PJ62,06/13/2024 15:42:30.017,45994.3557,44177.1194,-65.2285,135.8418,2.9994,226.3243,92.9255,10.5039,29.7179
PJ62,06/13/2024 15:42:30.517,45983.2410,44166.0063,-65.2413,135.8427,2.9994,226.3255,92.9258,10.5012,29.7105
PJ62,06/13/2024 15:42:31.017,45972.1287,44154.8953,-65.2540,135.8436,2.9994,226.3267,92.9261,10.4986,29.7030
PJ62,06/13/2024 15:42:31.517,45961.0185,44143.7867,-65.2667,135.8445,2.9994,226.3279,92.9264,10.4959,29.6955
PJ62,06/13/2024 15:42:32.017,45949.9107,44132.6803,-65.2795,135.8455,2.9994,226.3291,92.9267,10.4933,29.6881
PJ62,06/13/2024 15:42:32.517,45938.8051,44121.5761,-65.2922,135.8464,2.9994,226.3302,92.9270,10.4907,29.6806
PJ62,06/13/2024 15:42:33.017,45927.7017,44110.4743,-65.3050,135.8473,2.9994,226.3314,92.9273,10.4880,29.6731
PJ62,06/13/2024 15:42:33.517,45916.6007,44099.3746,-65.3177,135.8482,2.9994,226.3326,92.9276,10.4854,29.6656
PJ62,06/13/2024 15:42:34.017,45905.5019,44088.2773,-65.3305,135.8491,2.9994,226.3338,92.9279,10.4827,29.6582
PJ62,06/13/2024 15:42:34.517,45894.4053,44077.1822,-65.3433,135.8500,2.9994,226.3349,92.9282,10.4801,29.6507
PJ62,06/13/2024 15:42:35.017,45883.3111,44066.0894,-65.3560,135.8509,2.9994,226.3361,92.9284,10.4775,29.6433
PJ62,06/13/2024 15:42:35.517,45872.2191,44054.9989,-65.3688,135.8519,2.9994,226.3373,92.9287,10.4748,29.6358
PJ62,06/13/2024 15:42:36.017,45861.1294,44043.9106,-65.3816,135.8528,2.9994,226.3385,92.9290,10.4722,29.6283
PJ62,06/13/2024 15:42:36.517,45850.0419,44032.8246,-65.3944,135.8537,2.9994,226.3397,92.9293,10.4696,29.6209
PJ62,06/13/2024 15:42:37.017,45838.9567,44021.7409,-65.4072,135.8546,2.9994,226.3408,92.9296,10.4669,29.6134
PJ62,06/13/2024 15:42:37.517,45827.8738,44010.6595,-65.4200,135.8555,2.9994,226.3420,92.9299,10.4643,29.6060
PJ62,06/13/2024 15:42:38.017,45816.7932,43999.5803,-65.4329,135.8564,2.9994,226.3432,92.9302,10.4616,29.5985
PJ62,06/13/2024 15:42:38.517,45805.7149,43988.5035,-65.4457,135.8573,2.9994,226.3444,92.9305,10.4590,29.5911
PJ62,06/13/2024 15:42:39.017,45794.6389,43977.4289,-65.4585,135.8582,2.9994,226.3455,92.9308,10.4564,29.5836
PJ62,06/13/2024 15:42:39.517,45783.5651,43966.3566,-65.4713,135.8591,2.9994,226.3467,92.9311,10.4537,29.5762
PJ62,06/13/2024 15:42:40.017,45772.4936,43955.2865,-65.4842,135.8600,2.9994,226.3479,92.9314,10.4511,29.5687
PJ62,06/13/2024 15:42:40.517,45761.4244,43944.2188,-65.4970,135.8609,2.9994,226.3491,92.9317,10.4485,29.5613
PJ62,06/13/2024 15:42:41.017,45750.3575,43933.1534,-65.5099,135.8619,2.9994,226.3503,92.9319,10.4459,29.5538
PJ62,06/13/2024 15:42:41.517,45739.2929,43922.0902,-65.5227,135.8628,2.9994,226.3514,92.9322,10.4432,29.5464
PJ62,06/13/2024 15:42:42.017,45728.2306,43911.0294,-65.5356,135.8637,2.9994,226.3526,92.9325,10.4406,29.5389
PJ62,06/13/2024 15:42:42.517,45717.1706,43899.9708,-65.5485,135.8646,2.9994,226.3538,92.9328,10.4380,29.5315
PJ62,06/13/2024 15:42:43.017,45706.1129,43888.9145,-65.5613,135.8655,2.9994,226.3550,92.9331,10.4353,29.5241
PJ62,06/13/2024 15:42:43.517,45695.0574,43877.8606,-65.5742,135.8664,2.9994,226.3561,92.9334,10.4327,29.5166
PJ62,06/13/2024 15:42:44.017,45684.0043,43866.8089,-65.5871,135.8673,2.9994,226.3573,92.9337,10.4301,29.5092
PJ62,06/13/2024 15:42:44.517,45672.9535,43855.7595,-65.6000,135.8682,2.9994,226.3585,92.9340,10.4275,29.5018
PJ62,06/13/2024 15:42:45.017,45661.9049,43844.7125,-65.6129,135.8691,2.9994,226.3597,92.9343,10.4248,29.4943
PJ62,06/13/2024 15:42:45.517,45650.8587,43833.6677,-65.6258,135.8700,2.9994,226.3609,92.9346,10.4222,29.4869
PJ62,06/13/2024 15:42:46.017,45639.8148,43822.6253,-65.6387,135.8709,2.9994,226.3620,92.9349,10.4196,29.4795
PJ62,06/13/2024 15:42:46.517,45628.7732,43811.5851,-65.6517,135.8718,2.9994,226.3632,92.9352,10.4169,29.4721
PJ62,06/13/2024 15:42:47.017,45617.7339,43800.5473,-65.6646,135.8727,2.9994,226.3644,92.9354,10.4143,29.4646
PJ62,06/13/2024 15:42:47.517,45606.6969,43789.5118,-65.6775,135.8736,2.9994,226.3656,92.9357,10.4117,29.4572
PJ62,06/13/2024 15:42:48.017,45595.6623,43778.4786,-65.6905,135.8745,2.9994,226.3667,92.9360,10.4091,29.4498
PJ62,06/13/2024 15:42:48.517,45584.6299,43767.4477,-65.7034,135.8754,2.9994,226.3679,92.9363,10.4065,29.4424
PJ62,06/13/2024 15:42:49.017,45573.5999,43756.4191,-65.7164,135.8763,2.9994,226.3691,92.9366,10.4038,29.4349
PJ62,06/13/2024 15:42:49.517,45562.5721,43745.3928,-65.7293,135.8772,2.9994,226.3703,92.9369,10.4012,29.4275
PJ62,06/13/2024 15:42:50.017,45551.5467,43734.3689,-65.7423,135.8781,2.9994,226.3715,92.9372,10.3986,29.4201
PJ62,06/13/2024 15:42:50.517,45540.5237,43723.3473,-65.7553,135.8790,2.9994,226.3726,92.9375,10.3960,29.4127
PJ62,06/13/2024 15:42:51.017,45529.5029,43712.3280,-65.7682,135.8799,2.9994,226.3738,92.9378,10.3933,29.4053
PJ62,06/13/2024 15:42:51.517,45518.4845,43701.3110,-65.7812,135.8808,2.9994,226.3750,92.9381,10.3907,29.3979
PJ62,06/13/2024 15:42:52.017,45507.4683,43690.2964,-65.7942,135.8817,2.9994,226.3762,92.9384,10.3881,29.3905
PJ62,06/13/2024 15:42:52.517,45496.4546,43679.2840,-65.8072,135.8826,2.9994,226.3773,92.9386,10.3855,29.3831
PJ62,06/13/2024 15:42:53.017,45485.4431,43668.2741,-65.8202,135.8835,2.9994,226.3785,92.9389,10.3829,29.3756
PJ62,06/13/2024 15:42:53.517,45474.4340,43657.2664,-65.8332,135.8844,2.9994,226.3797,92.9392,10.3803,29.3682
PJ62,06/13/2024 15:42:54.017,45463.4272,43646.2611,-65.8462,135.8853,2.9994,226.3809,92.9395,10.3776,29.3608
PJ62,06/13/2024 15:42:54.517,45452.4228,43635.2581,-65.8593,135.8862,2.9994,226.3821,92.9398,10.3750,29.3534
PJ62,06/13/2024 15:42:55.017,45441.4207,43624.2574,-65.8723,135.8871,2.9994,226.3832,92.9401,10.3724,29.3460
PJ62,06/13/2024 15:42:55.517,45430.4209,43613.2591,-65.8853,135.8880,2.9994,226.3844,92.9404,10.3698,29.3386
